time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0411216047517,0.141131634192,11.8289156409,0.0764165656739,0.0395810495977,0.0,-0.170778594476,0.42529225883,2.72010316033,0.0298948630492,0.052886925845,0.0,473.8269286330832,473.31006824329563,474.06488684784085,471.78680037803025
1.3800000000000008,-0.0522499557207,0.168328706882,11.9963297989,0.0783113928122,0.0428492453818,0.0,-0.200501130641,0.481443901427,2.8599840958,0.0347542471235,0.0574604389822,0.0,457.5767841603957,457.94260371212107,456.68205890682185,457.0698185771262
1.4400000000000008,-0.0652254043508,0.19892029505,12.1719257841,0.0804775506034,0.0460673692884,0.0,-0.232357385745,0.538469241849,2.99282515003,0.0386709643232,0.044613124275,0.0,455.83134851387973,454.80532167454913,456.4722522736914,456.78524693416324
1.5000000000000009,-0.0803456952184,0.233268726703,12.3590475338,0.0826232580674,0.0484139625067,0.0,-0.271937459655,0.606693728135,3.24382630075,0.0291968176042,0.0248525618312,0.0,492.6176476845059,491.1548501308063,491.8642764721752,491.1625621688622
1.560000000000001,-0.0975041008565,0.271096499062,12.5532312178,0.0839898994981,0.049910889385,0.0,-0.300139190296,0.654364146438,3.2289710093,0.0051020813193,0.0251405035181,0.0,410.192185376016,410.2179118125855,412.2096849435224,410.07490715453616
1.620000000000001,-0.116626113808,0.312212349948,12.7513864732,0.0846904430517,0.0515018035451,0.0,-0.337409595589,0.716175846369,3.37574489473,0.0223452729617,0.0291315883063,0.0,462.50577407566027,462.8201304950498,461.7631466725975,463.1213237453374
1.680000000000001,-0.138145922304,0.357259938323,12.9607481173,0.0866245826102,0.0532619541061,0.0,-0.380093945634,0.785544167633,3.60222997999,0.0469632293612,0.0297411890996,0.0,487.1834517122775,487.2292049974014,485.9665398535563,487.80865188645294
1.740000000000001,-0.162099001801,0.406241341207,13.1804908361,0.0894891107251,0.0556770933335,0.0,-0.41854840909,0.847422122192,3.72207380733,0.0492556489774,0.0556684510015,0.0,455.46247046963697,457.5321979053858,457.15347798799627,457.3374251050889
1.8000000000000012,-0.188348203427,0.458886442227,13.4062075871,0.0929400065626,0.0586216011825,0.0,-0.456727228275,0.90769825867,3.80147501508,0.070327547281,0.030697888689,0.0,446.30983624639714,444.2683924219184,444.34354961506403,446.06994398799657
1.8600000000000012,-0.216971564495,0.515265966302,13.6371750605,0.0970005449524,0.0602214089379,0.0,-0.497542613997,0.971995519338,3.89702879875,0.0617635353339,0.0170418042461,0.0,450.7770313243273,449.6722148427252,452.2127394644227,451.52565486902307
1.9200000000000013,-0.247892580546,0.575289431373,13.8708730339,0.100634420308,0.0613722086285,0.0,-0.533254742379,1.02909162975,3.89284644619,0.058053081342,0.023145581545,0.0,419.39303115425207,419.92287248128736,419.92911470863396,419.60993668798625
1.9800000000000013,-0.281365783224,0.63943359882,14.1105545853,0.103892451335,0.0622721152487,0.0,-0.582621290781,1.10935360399,4.09572776557,0.0454815543038,-0.0110271976571,0.0,485.5713599757641,483.00077416148025,484.80197698523324,483.8580802828376
2.0400000000000014,-0.317690209453,0.708258577224,14.360422349,0.107177910755,0.0612468751613,0.0,-0.628077205717,1.18506978996,4.23261919959,0.0687803686063,-0.0333645863489,0.0,466.66414073196006,464.9171624851824,466.04318947414504,467.8626155510125
2.1000000000000014,-0.356838734189,0.781918737936,14.6205110492,0.111351376838,0.0591998162146,0.0,-0.676590498043,1.27065347366,4.43613198242,0.0710681578847,-0.0356676621383,0.0,486.3385363217825,486.16562275145776,488.1290002637875,488.3029092767252
2.1600000000000015,-0.399055697696,0.861201834207,14.8962698523,0.115201725331,0.057325320707,0.0,-0.73029921505,1.37250323857,4.75442566278,0.044512276297,-0.0236037002269,0.0,520.6877574266961,521.5309137596793,521.8598977397661,520.0050232244387
2.2200000000000015,-0.443733355402,0.945244515703,15.1786813957,0.117671142687,0.0559773987922,0.0,-0.75888228616,1.42913247583,4.65963601514,0.0334237298672,-0.020280951782,0.0,397.19289979759213,397.4974713309168,396.95906676792964,395.9411529897417
2.2800000000000016,-0.490620301132,1.03379759553,15.464518645,0.1200862302,0.0547852224965,0.0,-0.803827923112,1.52276939302,4.86731044643,0.0512544810375,-0.0190594082212,0.0,491.88227868042816,491.9728159922464,491.86988331334527,493.18938939938204
2.3400000000000016,-0.540117789619,1.1278962034,15.7617334633,0.123063900855,0.0534032331875,0.0,-0.84590993904,1.61407217341,5.03899446333,0.0461594009701,-0.032480774762,0.0,484.477845707287,483.46752956620674,483.6563477711837,483.2737284109621
2.4000000000000017,-0.591842309441,1.22692100766,16.0642950951,0.125494312183,0.0516704818921,0.0,-0.878082517592,1.68695431104,5.04628712448,0.0257258733343,-0.0225062235047,0.0,435.12707693163145,435.9611590548153,435.0911943299922,433.37764915811937
2.4600000000000017,-0.645411177785,1.33021034284,16.3661604423,0.126698943207,0.049833401005,0.0,-0.907435636623,1.75612447699,5.01597399427,0.00530615240857,-0.0564231577561,0.0,423.90269150698373,420.9769165238847,423.85131292416435,422.092444631369
2.520000000000002,-0.700917285114,1.4382029405,16.6704605077,0.127294312409,0.0467072452783,0.0,-0.942414231615,1.84357729598,5.12682145813,0.0178458888668,-0.0446244617021,0.0,467.09360072810233,468.0113079408121,466.6554448435513,467.63328478589904
2.580000000000002,-0.758401938997,1.55128992718,16.9801505479,0.128346999478,0.043874981034,0.0,-0.973465800106,1.92601412555,5.19581104123,0.0169357088876,-0.0529385056902,0.0,455.83326773154374,455.16698328960285,455.83960512153266,455.7667723827646
2.640000000000002,-0.817630288807,1.66914908713,17.292521349,0.129668855101,0.0405822321084,0.0,-1.00052544968,2.00268073741,5.2164080974,0.0306525385988,-0.0590723478302,0.0,441.96101912431425,441.4530355139342,440.049397118528,441.18361743438925
2.700000000000002,-0.878391763438,1.79152664766,17.6053498396,0.131163118262,0.0371161121424,0.0,-1.02456458947,2.07668277398,5.21118284757,0.00977878572405,-0.0552820879411,0.0,433.50174714997553,433.8177786997078,433.4607111062135,431.7027737518739
2.760000000000002,-0.940667391505,1.91882220536,17.9213704573,0.131741186477,0.0341356244608,0.0,-1.05095471621,2.16644830975,5.3222680249,0.00934426245005,-0.0403273917093,0.0,469.6587569821765,470.81593500494165,468.99559838671087,468.9617134494561
2.820000000000002,-1.00440762965,2.05126571408,18.2422323882,0.132198591684,0.0323028487321,0.0,-1.07352296435,2.248303596,5.37284042054,0.00393807529524,-0.0159423655919,0.0,450.2137381488096,452.18235635825994,453.4396318233005,453.0049326835739
2.880000000000002,-1.06946487457,2.18858538364,18.5658721621,0.132051517193,0.0314540709939,0.0,-1.0949677148,2.32894810813,5.41490194057,-0.0200098917392,-0.0107766367944,0.0,450.2211061682322,450.6390513493213,450.8398172253256,448.9004023466581
2.940000000000002,-1.13575075871,2.33053885803,18.8906253526,0.130751401127,0.0303905112365,0.0,-1.11450088461,2.40267263852,5.41021270058,-0.0252111103673,-0.0376343943834,0.0,436.61168298566133,434.3646743573165,436.1632210760171,435.7285121484266
3.000000000000002,-1.20316923726,2.47680640088,19.2145290813,0.12949517683,0.0277734422281,0.0,-1.13259457981,2.47275537851,5.38669621383,-0.0135273393553,-0.059601377436,0.0,429.0947310872142,427.2241713164898,430.38695022150495,431.374868540394
3.0600000000000023,-1.27172637707,2.62772216056,19.540654418,0.12965747708,0.0238561333246,0.0,-1.15226503651,2.55763144633,5.48365308258,0.0236517199941,-0.0801874551256,0.0,467.77174898761655,466.16253033313785,466.15468017488035,469.0514639412421
3.1200000000000023,-1.34127551282,2.78313640701,19.8680466893,0.131130078772,0.0188072203893,0.0,-1.16567039517,2.62294367607,5.4296605307,0.0262693235384,-0.0935536051124,0.0,420.51088132950485,419.34483776529044,420.4722795793572,420.6991601223572
3.1800000000000024,-1.41161253492,2.94295274678,20.1957411671,0.133099725881,0.01342450861,0.0,-1.17837530593,2.70434829868,5.49312553134,0.0434746754833,-0.0829672831337,0.0,456.9122499849845,457.7490766695795,457.2036577152365,458.573018621262
